Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
African Bush Elephant,https://a-z-animals.com/media/animals/images/470x370/african_bush_elephant_24.jpg ,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,African Bush Elephant,African Elephant,Mammal,1,central and southern Africa,Forest| savannah and flood plains,Grey| Brown,Leather,3m - 3.5m (10ft - 12ft),3|600kg - 5|400kg (7|900lbs - 12|000lbs),40kph (25mph),Herbivore,Grass| Fruit| Roots,Human| Lion| Hyena,Diurnal,Herd,60 - 70 years,11 - 20 years,20 - 24 months,1,Calf,6 - 18 months,Threatened,300|000,Poaching and habitat loss,Large| rounded ears,Can drink up to 50 gallons a day!,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Weight,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,,,
African Civet,https://a-z-animals.com/media/animals/images/470x370/african_civet4.jpg ,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,African Civet,Mammal,1,across sub-Saharan Africa,Tropical rainforest,Black| White| Grey| Yellow| Brown| Tan,Fur,43cm - 71cm (17in - 28in),1.4kg - 4.5kg (3lbs - 10lbs),Omnivore,Rodents| Snakes| Frogs,Lions| Snakes| Leopards,Nocturnal,Solitary,15 - 20 years,11 - 12 months,60 - 70 days,3,Pup,8 - 10 weeks,Least Concern,Abundant,Habitat loss,Black band around their eyes,Secretes up to 4g of musk every week!,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Water Type,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Spawn Size,Name Of Young,Age Of Independence,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,
African Clawed Frog,https://a-z-animals.com/media/animals/images/470x370/african_clawed_frog7.jpg ,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,African Clawed Frog,Platanna,Amphibian,1,eastern and southern Africa,Warm stagnant water with grassland,Brown| Grey| Albino,Permeable Scales,2.5cm - 12cm (1in - 5in),25g - 220g (1oz - 8oz),8km/h (5mph),Carnivore,Small Fish| Insects| Spiders,Snakes| Birds| Small Mammals,Nocturnal,Solitary,Fresh,8 - 15 years,10 -  12 months,4 - 5 days,2|000,Tadpole,5 days,Least Concern,Abundant,Water pollution,Clawed front toes,A particularly ferocious amphibian!,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
African Forest Elephant,https://a-z-animals.com/media/animals/images/470x370/african_elephant.jpg ,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,African Forest Elephant,African Elephant,Mammal,1,central and southern Africa,Forest| savannah and flood plains,Grey| Brown,Leather,2m - 3m (6.6ft - 9.8ft),900kg - 3|000kg (1|984lbs - 6|613lbs),39km/h (24mph),Herbivore,Grass| Fruit| Roots,Human| Lion| Hyena,Diurnal,Herd,60 - 70 years,11 - 20 years,22 - 24 months,1,Calf,5 years,Endangered,200|000,Poaching and habitat loss,Rounded ears and thin| straight tusks,The largest known mammal on land!,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Weight,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,,
African Palm Civet,https://a-z-animals.com/media/animals/images/470x370/african_palm_civet.jpg ,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,African Palm Civet,Two-Spotted Palm Civet,Mammal,1,eastern Africa,Tropical rainforest,Black| White| Grey| Yellow| Brown| Tan,Fur,43cm - 71cm (17in - 28in),1.4kg - 4.5kg (3lbs - 10lbs),Omnivore,Rodents| Snakes| Frogs,Lions| Snakes| Leopards,Crepuscular,Solitary,15 - 20 years,2 - 3 years,64 days,2,Pup,2 months,Least Concern,Locally abundant,Habitat loss,Snout with sharp| pointed teeth,Solitary but gathers in groups!,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Water Type,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Clutch Size,Name Of Young,Age Of Fledgling,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,
African Penguin,https://a-z-animals.com/media/animals/images/470x370/african_penguin3.jpg ,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,African Penguin,Jackass Penguin,Bird,1,south-west African coast,Rocky Ocean Islands,Black| White| Grey,Feathers,60cm - 68cm (24in - 27in),2kg - 5kg (4.4lbs - 11lbs),20kph (12.4mph),Carnivore,Fish| Squid| Crustaceans,Sharks| Fur Seals| Gulls,Diurnal,Colony,Salt,10 - 15 years,3 - 4 years,40 days,2,Chick,3 - 5 months,Endangered,140|000,Habitat disruption,Pink glands above their eyes,The only penguin species in Africa!,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Type,Diet,Size (L),Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Location,Habitat,Average Spawn Size,Prey,Predators,Distinctive Features,,,,,,,,,,,,,
African Tree Toad,https://a-z-animals.com/media/animals/images/470x370/african_tree_toad.jpg ,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,Amphibian,Carnivore,2.5cm - 3.8cm (1in - 1.5in),2g - 5g (0.07oz - 0.18oz),8km/h (5mph),3 - 5 years,Solitary,Least Concern,Brown| Black| White| Tan,Permeable,Central Africa,Tropical lowland forest,100,Insects| Worms| Snails,Fish| Toads| Birds,Small body size and webbed feet,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
African Wild Dog,https://a-z-animals.com/media/animals/images/470x370/african_wild_dog4.jpg ,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,African Wild Dog,Hunting Dog| Painted Dog| Painted Wolf,Mammal,1,sub-Saharan Africa,Open plains and savanna,Grey| Black| White| Brown| Tan| Gold| Red,Fur,75cm - 110cm (29in - 43in),17kg - 36kg (39lbs - 79lbs),72kph (45mph),Carnivore,Antelope| Warthog| Rodents,Lions| Hyenas| Humans,Crepuscular,Pack,10 - 13 years,12 - 18 months,70 days,8,Pup,3 months,Endangered,Less than 5|000,Habitat loss,Four toes on each foot rather than five,Also known as the painted dog!,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Ainu Dog,https://a-z-animals.com/media/animals/images/470x370/ainu_dog.jpg ,Ainu Dog,Japan,Dog,50cm (20in),30kg (65lbs),12 years,7,Working,Grey| Tan| Brown| White,Fearless| determined and loyal,Hard,Sharply pointed ears and upturned tail,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Airedale Terrier ,https://a-z-animals.com/media/animals/images/470x370/airedale_terrier.jpg ,Airedale Terrier,Great Britain,Dog,58cm (23in),20kg (44lbs),12 years,8,Terrier,Black| Tan| Brown,Friendly| adaptable and courageous,Fairly Easy,Long muzzle and square body,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Akbash,https://a-z-animals.com/media/animals/images/470x370/akbash_dog1.jpg ,Akbash,Turkey,Dog,86cm (34in),63kg (140lbs),11 years,8,Guard,White| Brown,Calm| independent| brave and protective,Hard,Big head and powerful jaws,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (L),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Akita,https://a-z-animals.com/media/animals/images/470x370/akita_dog.jpg ,Akita,Japan,Dog,71cm (28in),50kg (110lbs),10 years,7,Working,Brown| White| Black| Grey,Intelligent| courageous and fearless,Medium - Hard,Pointed ears and upward curving tail,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Malamute,https://a-z-animals.com/media/animals/images/470x370/alaskan_malamute6.jpg ,Alaskan Malamute,North America,Dog,63cm (25in),38kg (85lbs),14 years,6,Working,White| Black| Grey,Affectionate| friendly and loyal,Medium,Pointed face and upturned tail,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Wingspan,Weight,Top Speed,Diet,Main Prey,Predators,Lifestyle,Group Behaviour,Water Type,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Clutch Size,Name Of Young,Age Of Fledgling,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,
Albatross,https://a-z-animals.com/media/animals/images/470x370/albatross3.jpg ,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedeidae,Albatross,Tubenose,Bird,21,across the southern seas,southern waters and islands,Black| White| Brown| Red| Yellow,Feathers,0.9m - 1.3m (35in - 51in),2m - 3.4m (78in - 134in),8kg - 10kg (17lbs - 22lbs),64kph (40mph),Carnivore,Fish| Crab| Squid,Humans| Tiger Sharks,Diurnal,Colonial Nesting,Salt,12 - 40 years,2 - 7 years,2 - 3 months,1,Chick,5 - 10 months,Endangered,Low,Lone-line fishing,Long| hook-tipped beak,The largest wingspan of any bird!,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Clutch Size,Name Of Young,Age Of Independence,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
Aldabra Giant Tortoise,https://a-z-animals.com/media/animals/images/470x370/aldabra_giant_tortoise5.jpg ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,Aldabra Giant Tortoise,Giant Tortoise,Reptile,1,Aldabra atoll in the Indian Ocean,Grasslands and swamps,Black| Brown| Tan,Scales,90cm - 120cm (3ft - 4ft),150kg - 250kg (330lbs - 550lbs),0.5kph (0.3mph),Herbivore,Grasses| Leaves| Flowers,Giant Crab| Humans| Cats,Diurnal,Herd,80 - 255 years,20 - 30 years,8 months,15,Hatchling,3 - 6 months,Vulnerable,200|000,Habitat loss,Large| high-domed shell,One got to be 255 years old!,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Water Type,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Clutch Size,Name Of Young,Age Of Independence,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,
Alligator,https://a-z-animals.com/media/animals/images/470x370/alligator6.jpg ,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,Alligator,Gator,Reptile,2,southern USA and China,Marsh and swampland,Green| Grey| Black| Brown| Yellow,Scales,2.5cm - 4.5m (8ft - 15ft),181kg - 363kg (400lbs - 800lbs),24kph (15mph),Carnivore,Fish| Snakes| Turtles,Human| Birds| Raccoon,Diurnal/Nocturnal,Solitary,Fresh| Brackish,30 - 60 years,10 - 12 years,2 months,35,Hatchling,1- 2 years,Least Concern,1 million/less than 100,Water pollution,Muscular tail half the total body length,They have two sets of eyelids!,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Dachsbracke,https://a-z-animals.com/media/animals/images/470x370/alpine_dachsbracke1.jpg ,Alpine Dachsbracke,Austria,Dog,35cm (14in),18kg (40lbs),12 years,8,Scent Hound,Red| Black| Brown,Fearless| friendly and intelligent,Easy,Elongated body and short| stocky legs,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size,Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
American Cocker Spaniel,https://a-z-animals.com/media/animals/images/470x370/american_cocker_spaniel1.jpg ,American Cocker Spaniel,North America,Dog,38cm (15in),12.7kg (28lbs),15 years,4,Gun Dog,White| Black| Brown| Tan| Grey| Red| Fawn,Friendly| happy and enthusiastic,Easy,Long| dropped ears and feathered feet,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
American Coonhound,https://a-z-animals.com/media/animals/images/470x370/american_coonhound2.jpg ,American Coonhound,North America,Dog,70cm (28in),32kg (70lbs),12 years,7,Working ,Black| Tan| Brown| White,Easy going but loyal and dedicated,Medium,Long ears and strong| muscular legs,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog,https://a-z-animals.com/media/animals/images/470x370/american_eskimo_dog3.jpg ,American Eskimo Dog,Germany,Dog,Average Size,9kg (20lbs),15,5,Working,White,Intelligent| alert and friendly,Fairly easy,Bright| white coat and pointed ears,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
American Foxhound,https://a-z-animals.com/media/animals/images/470x370/american_foxhound2.jpg ,American Foxhound,North America,Dog,63cm (25in),29kg (65lbs),11 years,7,Hound,Black| White| Tan,Sweet| kind and loyal ,Medium,Long legs and wide| flat ears,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (L),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
American Pit Bull Terrier,https://a-z-animals.com/media/animals/images/470x370/american_pit_bull_terrier.jpg ,American Pit Bull Terrier,North America,Dog,55cm (22in),36kg (80lbs),12 years,8,Mastiff,Black| White| Tan| Brown,Stubborn yet obedient,Hard,Small and sharply pointed ears,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Average Size,Average Weight,Average Lifespan,Group,Colour,Average Litter Size,Temperament,Training,,,,,,,,,,,,,,,,,,,,,,,,,,
American Staffordshire Terrier,https://a-z-animals.com/media/animals/images/470x370/american_staffordshire_terrier2.jpg ,American Staffordshire Terrier,North America,48cm (19in),22kg (50lbs),12 years,Mastiff,Black| White| Tan| Brown,6,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Average Size,Average Weight,Average Lifespan,Group,Colour,Average Litter Size,Temperament,Training,,,,,,,,,,,,,,,,,,,,,,,,,,
American Water Spaniel,https://a-z-animals.com/media/animals/images/470x370/american_water_spaniel1.jpg ,American Water Spaniel,North America,42cm (18in),20kg (45lbs),12 years,Gun Dog,Black| Dark Brown| Brown,5,Intelligent| quiet and calm,Should be trained from an early age using short| ongoing sessions as assertive training methods tend to be ineffective,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Group,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Lifespan,Gestation Period,Average Litter Size,Conservation Status,Estimated Population Size,Biggest Threat,Special Features,,,,,,,,,
Amur Leopard,https://a-z-animals.com/media/animals/images/470x370/amur_leopard.jpg ,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,Amur leopard,Mammal,Russia's Far East,Forests ,Light-hued in winter. reddish-yellow in summer,Long and thick coat ,90 cm - 180 cm (3ft - 6ft) excluding tail,25kg - 48kg (55lbs - 106lbs),56 kph (35 mph),Carnivore,Deer| Cattle| hares| small mammals ,Human poaching and competition with Siberian tigers,Solitary,10 - 15 years in wild; up to 20 in captivity,90-105 days,2-3 cubs,Critically Endangered,103 as of 2018 ,Poaching and habitat loss,Adapted for extreme cold with a coat that grows in the winter!,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Average Size,Average Weight,Average Lifespan,Group,Colour,Average Litter Size,Temperament,Training,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatolian Shepherd Dog,https://a-z-animals.com/media/animals/images/470x370/anatolian_shepherd_dog.jpg ,Anatolian Shepherd Dog,North America,76cm (30in),68kg (150lbs),13 years,Guard,Red| Brown| White| Cream,9,Courageous| powerful and sturdy,Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Common Name,Scientific Name,Origin,Diet,Size (L),Water Type,Optimum pH Level,Lifespan,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Clutch Size,Main Prey,Predators,Distinctive Features,,,,,,,,,,,,,,
Angelfish,https://a-z-animals.com/media/animals/images/470x370/angelfish11.jpg ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Angelfish,Pomacanthidae,Southern Hemisphere,Omnivore,7cm - 30cm (3in - 12in),Fresh| Salt,6.5 - 7.2,8 - 15 years,Threatened,Black| White| Yellow| Orange| Purple| Silver| Blue| Green,Scales,Fish,Rivers and coral reefs,500,Fish| Algae| Plankton,Fish| Birds| Sharks| Mammals,Body shape and brightly coloured markings,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Type,Diet,Size (L),Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Litter Size,Main Prey,Predators,Distinctive Features,,,,,,,,,,,,,
Anteater,https://a-z-animals.com/media/animals/images/470x370/anteater3.jpg ,Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla,Mammal,Omnivore,0.9m - 2.1m (3ft - 7ft),18kg - 40kg (40lbs - 88lbs),30km/h (18mph),9 - 20 years,Solitary,Threatened,Brown| Grey| Black| Tan,Fur,Ants,Forest and grasslands,1,Ants| Termites| Insects,Puma| Snakes| Jaguar,Elongated snout and long sticky tongue,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Type,Diet,Size (H),Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Litter Size,Main Prey,Predators,Distinctive Features,,,,,,,,,,,,,
Antelope,https://a-z-animals.com/media/animals/images/470x370/antelope_11.jpg ,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilopinae ,Alcelaphinae,Mammal,Herbivore,1m - 1.5m (3 - 5ft),500kg - 900kg (1|100lbs - 2|000lbs),70km/h (43mph),10 - 25 years,Herd,Least Concern,Brown| Red| Tan,Fur,Grass,Forest and grasslands,1,Grass| Shoots| Seeds,Lion| Cheetah| Crocodile,Long legs and curved antlers,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Average Size,Average Weight,Average Lifespan,Group,Colour,Average Litter Size,Temperament,Training,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Dog,https://a-z-animals.com/media/animals/images/470x370/appenzeller_dog1.jpg ,Appenzeller Dog,Switzerland,58cm (23in),25kg (55lbs),12 years,Sennenhund,Black| Tan| White,6,Active| calm| friendly and protective of their family,Should be trained from an early age and respond best to firm and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Type,Diet,Size (L),Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Litter Size,Main Prey,Predators,Distinctive Features,,,,,,,,,,,,,
Arctic Fox,https://a-z-animals.com/media/animals/images/470x370/arctic_fox_11.jpg ,Animalia,Chordata,Mammalia,Carnivora,Canidae,Alopex,Alopex Lagopus,Mammal,Carnivore,70cm - 110cm (28in - 43in),1.4kg - 9.4kg (3lbs - 21lbs),45km/h (30mph),7 - 10 years,Solitary,Least Concern,White| Black| Grey,Fur,Lemmings,Polar forest regions,5,Lemmings| Berries| Insects,Snowy Owl| Wolf| Polar Bear,Thick fur that changes colour with season,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Type,Diet,Size (L),Weight,Top Speed,Lifespan,Lifestyle,Conservation Status,Colour,Skin Type,Favourite Food,Habitat,Average Litter Size,Main Prey,Predators,Special Features,,,,,,,,,,,,,
